,Unnamed: 0,id,desc,category,price,old_price,discount_type
0,0,653703,tuletikud rimi,10-54-105,0.08,,"
"
1,7,277122,mitmeviljakukkel 0.035kg,SH-6-6,0.18,,"
"
2,9,124854,pulgakomm fazer muumi 0.008kg,SH-9-6-11,0.19,,"
"
3,10,267403,presspärm nordic 0.05kg,SH-13-13-83,0.19,,"
"
4,11,808709,kohvijook lahustuv 3in1 rimi 0.018kg,SH-13-9-47,0.19,,"
"
5,13,156466,kohvijook jacobs 3in1 mixes 0.0152kg,SH-13-9-47,0.22,,"
"
6,16,812163,toiduželatiin rimi basic 0.02kg,SH-13-13-80,0.24,,"
"
7,17,194437,kakaojook opti start nesquik 0.0135kg,SH-13-5,0.25,,"
"
8,18,193844,kohv lahustuv 3in1 strong nescafé 0.017kg,SH-13-9-47,0.25,,"
"
9,19,193845,kohv lahustuv 3in1 pruun suhkur nescafe 0.0165kg,SH-13-9-47,0.25,,"
"
10,21,193837,kohv lahustuv 3in1 nescafé classic 0.0165kg,SH-13-9-47,0.25,,"
"
11,22,193835,kohvijook lahustuv 2in1 nescafé 0.008kg,SH-13-9-47,0.25,,"
"
12,23,257086,kohupiimadessert gl vanilli jeppi 0.038kg,SH-11-2-7,0.25,,"
"
13,24,198508,kohvijook lahustuv karamel jacobs 3in1 0.0169kg,SH-13-9-47,0.26,,"
"
14,28,172940,kohvijook lahustuv 2in1 jacobs 0.014kg,SH-13-9-47,0.27,,"
"
15,25,175906,kohvijook lahustuv cafe latte jacobs 0.0125kg,SH-13-9-47,0.27,,"
"
16,32,101372,närimiskommid red band tutti frutti 0.015kg,SH-9-3-2,0.29,,"
"
17,35,812162,sidrunhape rimi basic 0.03kg,SH-13-13-81,0.3,,"
"
18,37,811931,kanalihamaitselised kiirnuudlid rimi basic 50,SH-13-8-39,0.31,,"
"
19,38,812182,veiseliham kiirnuudlid rimi basic 0.05kg,SH-13-8-39,0.31,,"
"
20,39,814058,kuivpärm rimi basic 0.012kg,SH-13-13-83,0.31,,"
"
21,43,163121,mesi korio 0.025kg,SH-13-10-53,0.32,,"
"
22,45,211266,punane sibul kg,SH-12-1-6,0.33,,"
"
23,46,812161,vanilliinsuhkur rimi basic 0.035kg,SH-13-13-81,0.34,,"
"
24,49,1358802,allikavesi karboniseerimata rimi kids 0.5l,SH-3-12-8,0.35,,"
"
25,50,113612,nätsukomm erinevad maitsed mamba 0.0265kg,SH-9-3-2,0.35,,"
"
26,51,1358820,allikavesi karboniseerimata rimi 0.5l,SH-3-12-8,0.35,,"
"
27,53,1358811,allikavesi karboniseeritud rimi 0.5l,SH-3-12-8,0.35,,"
"
28,54,811966,küpsised rimi basic klassik 0.155kg,SH-9-5-5,0.35,,"
"
29,55,269082,kohuke vanilli karums 0.045kg,SH-11-2-7,0.35,0.45,"regular
"
30,56,812160,jahvatatud must pipar rimi basic 0.015kg,SH-13-12-75,0.36,,"
"
31,59,811346,kohuke küpsiste ja želeetükkidega rimi 0.038kg,SH-11-2-7,0.37,,"
"
32,58,811936,köögiviljamaitselised kiirnuudlid rimi basic,SH-13-8-39,0.37,,"
"
33,57,811336,kohuke karamelliglasuuriga rimi 0.038kg,SH-11-2-7,0.37,,"
"
34,78,812378,mahlajook rimi multipuuvilja 0.2l,SH-3-8-2,0.39,,"
"
35,77,812372,"mahlajook rimi apelsini,banaani,virsiku 0.2l",SH-3-8-2,0.39,,"
"
36,76,269085,kohuke karamelli karums 0.045kg,SH-11-2-7,0.39,0.49,"regular
"
37,74,257082,kakaodessert gl šokolaadi jeppi 0.038kg,SH-11-2-7,0.39,,"
"
38,73,949418,kohupiimadessert valge gl jeppi 0.038kg,SH-11-2-7,0.39,,"
"
39,72,269083,kohuke šokolaadi karums 0.045kg,SH-11-2-7,0.39,0.49,"regular
"
40,71,128630,kummikommid red band tutti frutti hearts 0.015kg,SH-9-3-2,0.39,,"
"
41,70,811957,kiirsupp rimi express kana ja nuudlitega 0.014kg,SH-13-8-41,0.39,,"
"
42,69,811953,tomati-kiirsupp rimi express nuudlitega 0.021kg,SH-13-8-41,0.39,,"
"
43,75,257084,kohupiimadessert gl vaarika jeppi 0.038kg,SH-11-2-7,0.39,,"
"
44,67,101375,vahvlibatoon fazer suffeli 0.021kg,SH-9-9-21,0.39,,"
"
45,66,196749,maasikajook limpa 0.25l,SH-3-8-2,0.39,,"
"
46,65,805782,kassisööt purrrfect linnul tükid kastm 0.1kg,SH-7-1-1,0.39,,"
"
47,64,812371,mahlajook rimi virsiku ja viinamarja 0.2l,SH-3-8-2,0.39,,"
"
48,63,812630,õunamahlajook rimi 0.2l,SH-3-8-2,0.39,,"
"
49,68,1350162,joogivesi saaremaa 0.5l,SH-3-12-8,0.39,,"
"
50,62,1003246,kohvijook lahustuv cappuccino nescafe 0.015kg,SH-13-9-47,0.39,,"
"
51,61,987102,kohuke maasika karums 0.045kg,SH-11-2-7,0.39,,"
"
52,60,269071,kohuke kookose karums 0.045kg,SH-11-2-7,0.39,0.54,"regular
"
53,87,804290,tee ürdi kummeli rimi basic 0.02kg,SH-13-17-98,0.41,,"
"
54,86,809242,karamellid münt rimi basic 0.1kg,SH-9-3-3,0.41,,"
"
55,88,937834,mangokohuke karums 0.045kg,SH-11-2-7,0.42,0.54,"regular
"
56,89,812875,kohvikoor rimi basic 10% 0.2l,SH-11-5-24,0.43,,"
"
57,90,811315,rohelised oliivid rimi basic kivid 0.18kg 0.07kg,SH-13-10-56,0.43,,"
"
58,91,804228,makaron knees-sarveke rimi basic 0.4kg,SH-13-14-20,0.43,,"
"
59,92,995341,mini lihapirukas cannelle 0.02kg,SH-6-6,0.43,,"
"
60,93,147406,lahustuv pärm dr.oetker 0.007kg,SH-13-13-83,0.44,,"
"
61,94,1350294,vesi gaasiga saaremaa 0.5l,SH-3-12-8,0.44,,"
"
62,105,138796,kartulipuder või ja tilliga 5 min maggi 0.035kg,SH-13-8-40,0.45,,"
"
63,107,299322,dessert zottis vanilje zott 0.115kg,SH-11-2-2,0.45,,"
"
64,106,299158,dessert zottis šhokolaadi zott 0.115kg,SH-11-2-2,0.45,,"
"
65,100,276039,kartul pesemata kg eesti,SH-12-1-1,0.45,,"
"
66,96,150324,vahukoore tardaine dr.oetker 0.009kg,SH-13-13-79,0.45,,"
"
67,98,162138,nätsukommid hapu õuna chewits xtreme 0.03kg,SH-9-3-2,0.45,,"
"
68,97,100973,nätsukommid maasikamaitselised chewits 0.029kg,SH-9-3-2,0.45,,"
"
69,99,138797,kartulipuder rõõsakoorega 5 min maggi 0.035kg,SH-13-8-40,0.45,,"
"
70,95,812164,must pipar rimi basic 0.02kg,SH-13-12-75,0.45,,"
"
71,108,167976,müslibatoon maasika ja jogurti herkuless 0.025kg,SH-13-3-17,0.46,,"
"
72,109,805808,kassisööt purrrfect kala lihaga 0.1kg,SH-7-1-1,0.47,,"
"
73,110,805800,kassisööt purrrfect loomalihaga 0.1kg,SH-7-1-1,0.47,,"
"
74,111,805807,"kassisööt purrrfect loomalihaga,linnulih,100g",SH-7-1-1,0.47,,"
"
75,116,805798,müslibatoon banaani piimašokololaadi rimi 0.03kg,SH-13-3-17,0.48,,"
"
76,115,805781,müslibatoon jõhvika-vaarika jogurti rimi 0.03kg,SH-13-3-17,0.48,,"
"
77,112,210112,tšillipipar punane 1kl kg,SH-12-2-13,0.48,,"
"
78,114,805779,müslibatoon metsamarja jogurti rimi 0.03kg,SH-13-3-17,0.48,,"
"
79,129,198832,müslibatoon jogurti&troopili puuvil axa 0.025kg,SH-13-3-17,0.49,,"
"
80,135,934294,kohuke laktoosivaba vanilli saare 0.04kg,SH-11-2-7,0.49,,"
"
81,134,290810,kaneelirull 0.065kg rimi pagaritelt,SH-6-6,0.49,,"
"
82,133,276888,rukki-riisipirukas 0.065kg,SH-6-6,0.49,,"
"
83,136,298217,koorene kohuke toffe saare 0.04kg,SH-11-2-7,0.49,,"
"
84,126,136947,jook maasika-õuna-virsiku 0.2l tymbark,SH-3-8-2,0.49,,"
"
85,122,804229,makaronid nuudlid rimi basic 0.4kg,SH-13-14-20,0.49,,"
"
86,123,101019,piimašokolaad kinder country 0.024kg,SH-9-9-21,0.49,,"
"
87,121,804289,tee ürdi piparmündi rimi basic 0kg,SH-13-17-98,0.49,,"
"
88,120,196738,multijook limpa 0.25l,SH-3-8-2,0.49,,"
"
89,119,165545,jook õuna-virsiku tymbark frozen 0.2l,SH-3-8-2,0.49,,"
"
90,124,202729,kohuke mustikamoosiga tere 0.043kg,SH-11-2-7,0.49,,"
"
91,137,149478,vanillisuhkur dr.oetker 0.016kg,SH-13-13-81,0.5,,"
"
92,139,148171,vahvel piima-pähklikreemiga knoppers 0.025kg,SH-9-10,0.5,,"
"
93,140,811952,kiirsupp rimi express kana krutoonidega 0.016kg,SH-13-8-41,0.5,,"
"
94,141,811951,"kiirsupp rimi express seente,krutoon 0.016kg",SH-13-8-41,0.5,,"
"
95,142,200133,kohuke classic tere 0.043kg,SH-11-2-7,0.5,,"
"
96,146,102860,šokolaadibatoon daim 0.028kg,SH-9-9-21,0.51,,"
"
97,145,1358780,allikavesi karboniseerimata rimi 0.75l,SH-3-12-8,0.51,,"
"
98,143,194335,kiirsupp herne ja krutoonidega maggi 0.022kg,SH-13-8-41,0.51,,"
"
99,144,193468,kiirkanasupp nuudlitega 5min maggi 0.012kg,SH-13-8-41,0.51,,"
"
100,150,168212,jook vaarika-mustika drako 0.2l,SH-3-8-2,0.52,,"
"
101,152,164832,jook maasika-õuna drako 0.2l,SH-3-8-2,0.52,,"
"
102,153,164843,jook pirni-õuna drako 0.2l,SH-3-8-2,0.52,,"
"
103,154,101280,jook õuna põltsamaa 0.2l,SH-3-8-2,0.52,,"
"
104,155,107728,jook apelsini-õuna põltsamaa 0.2l,SH-3-8-2,0.52,,"
"
105,156,119550,mahlajook multi põltsamaa 0.2l,SH-3-8-2,0.52,,"
"
106,157,290795,kreemisai rimi pagaritelt 0.05kg,SH-6-6,0.52,,"
"
107,166,974084,tarretis tutti-frutti jänks 0.15kg,SH-11-2-2,0.53,,"
"
108,169,200130,kohuke jõhvikamoosiga tere 0.043kg,SH-11-2-7,0.53,,"
"
109,168,811873,"koerasööt nutribalance veise,küülik.100g",SH-7-2-4,0.53,,"
"
110,167,811874,koerasööt nutribalance kalkunilih 0.1kg,SH-7-2-4,0.53,,"
"
111,163,813829,seajalad jahutatud rimi kg,SH-8-14-25,0.53,,"
"
112,164,911229,tarretis kirsi jänks 0.15kg,SH-11-2-2,0.53,,"
"
113,161,267828,kohuke juustukoogi tere 0.043kg,SH-11-2-7,0.53,,"
"
114,158,812078,hibiskiõietee rimi basic 20 x 0.0015kg,SH-13-17-98,0.53,,"
"
115,165,1350165,vesi gaasiga saaremaa 1.5l,SH-3-12-8,0.53,,"
"
116,170,269157,sidrunikohuke karums 0.045kg,SH-11-2-7,0.54,,"
"
117,171,215172,redis kg,SH-12-1-5,0.54,,"
"
118,186,1364648,mineraalvesi rimi karboniseeritud 0.5l,SH-3-12-8,0.55,,"
"
119,185,1364660,mineraalvesi rimi karboniseerimata 0.5l,SH-3-12-8,0.55,,"
"
120,187,1011149,tordikaunistused dr oetker hõbepärlid 0.01kg,SH-13-13-82,0.55,,"
"
121,184,988376,biskviitmaius kirsitäidisega fantasia 0.027kg,SH-11-2-7,0.55,0.69,"regular
"
122,190,1350492,vesi gaasita aura spring 0.5l,SH-3-12-8,0.55,,"
"
123,191,805780,müslibatoon šokolaadi rimi 0.03kg,SH-13-3-17,0.55,,"
"
124,192,1358810,allikavesi karboniseerimata rimi 1.5l,SH-3-12-8,0.55,,"
"
125,189,1354183,vesi karbonis sidrunim vichy classique 0.5l,SH-3-12-9,0.55,,"
"
126,183,276076,porgand kg eesti,SH-12-1-4,0.55,,"
"
127,188,1358793,allikavesi karboniseeritud rimi 1.5l,SH-3-12-8,0.55,,"
"
128,181,812823,riisivahvlid rimi tom basiilikuga 0.025kg,SH-13-1-2,0.55,,"
"
129,180,812824,riisivahvlid rimi juustuga 0.025kg,SH-13-1-2,0.55,,"
"
130,179,123465,šokolaad milky way 0.0215kg,SH-9-9-21,0.55,,"
"
131,178,994731,kohuke maapähkl-karamell 28% magija 0.045kg,SH-11-2-7,0.55,,"
"
132,182,200640,redis tuutu 0.125kg,SH-12-1-5,0.55,0.69,"regular
"
133,177,988375,biskviitmaius karamellitäidisega fantasia 0.027kg,SH-11-2-7,0.55,0.69,"regular
"
134,176,994740,kohuke küpsise 22.6% magija 0.045kg,SH-11-2-7,0.55,,"
"
135,175,122348,vilekomm maasikamaitseline chupa chups 0.015kg,SH-9-6-11,0.55,,"
"
136,174,200267,kohvikoor alma 10% 0.2l,SH-11-5-24,0.55,,"
"
137,193,139984,mahlajää limon-guanabamaits limpa 0.07kg,SH-4-1-5,0.56,,"
"
138,194,914488,kohuke vanilli ja belgia šokol aasa 0.04kg,SH-11-2-7,0.56,,"
"
