,id,desc,category,price,old_price
0,7340011428497,"RAINBOW, Kiivi karbis, 500g","Puu- ja juurviljad,Puuviljad",1.99,
1,7340011432371,"RAINBOW, Avokaado pakitud 800 g","Puu- ja juurviljad,Puuviljad",4.59,
2,5997690711574,Õunakrõps Golden 40g,"Puu- ja juurviljad,Puuviljad",1.59,
3,5997690707874,Õunakrõps Jonathan 40g,"Puu- ja juurviljad,Puuviljad",1.59,
4,6414890440176,Pirn Conference pakitud 1 kg,"Puu- ja juurviljad,Puuviljad",1.49,
5,2060400800004,"Sidrun, II klass","Puu- ja juurviljad,Puuviljad",1.99,
6,2060430500004,Granaatõun,"Puu- ja juurviljad,Puuviljad",2.29,
7,2060430700008,"Õun Golden,  I klass","Puu- ja juurviljad,Puuviljad",1.79,
8,2060460200004,"Viinamari Red Magic, I klass","Puu- ja juurviljad,Puuviljad",3.99,
9,2060490100008,Ananass Rainbow,"Puu- ja juurviljad,Puuviljad",1.89,
10,2060490500006,Kollane melon,"Puu- ja juurviljad,Puuviljad",1.69,
11,2060490600003,"Avokaado Hass, söögivalmis","Puu- ja juurviljad,Puuviljad",5.99,
12,2060491100007,Hurmaa I klass,"Puu- ja juurviljad,Puuviljad",3.39,
13,2060493000008,Laim,"Puu- ja juurviljad,Puuviljad",4.29,
14,2060493100005,Melon Piel De Sappo,"Puu- ja juurviljad,Puuviljad",2.79,
15,2060505200006,Greip Jaffa valge,"Puu- ja juurviljad,Puuviljad",2.89,
16,2060514600002,"Õun  Paulared, II klass","Puu- ja juurviljad,Puuviljad",0.59,
17,2060515000009,"Õun Granny Smith, I klass","Puu- ja juurviljad,Puuviljad",2.19,
18,2060515100006,"Õun Royal Gala,  I klass","Puu- ja juurviljad,Puuviljad",1.59,
19,8437010537158,"Pom´bel õuna-banaani-maasika puuviljamiks, 4x100 g","Puu- ja juurviljad,Puuviljad",2.49,
20,2060400700007,"Banaan  chiquita,","Puu- ja juurviljad,Puuviljad",1.29,
21,8718366803136,Füüsal 100 g,"Puu- ja juurviljad,Puuviljad",1.69,
22,2060492300000,Granadill,"Puu- ja juurviljad,Puuviljad",11.99,
23,6414894500609,"RAINBOW, Hele viinamari Ifg ten 500g","Puu- ja juurviljad,Puuviljad",3.49,
24,6414894500401,"RAINBOW, Tume viinamari Sugarthreen seemneteta 500g","Puu- ja juurviljad,Puuviljad",3.99,
25,2060431500003,Õun Talvenauding I klass,"Puu- ja juurviljad,Puuviljad",3.29,
26,8713037000241,"Avokaado, mahe 300 g","Puu- ja juurviljad,Puuviljad",3.99,
27,8713037001071,Kiivi mahe 300 g,"Puu- ja juurviljad,Puuviljad",1.99,
28,6405940735090,Kookospähkel,"Puu- ja juurviljad,Puuviljad",2.29,
29,2060492900002,"Kiivi,  II klass","Puu- ja juurviljad,Puuviljad",1.99,
30,2060432600009,Õun Honey Crunch I klass,"Puu- ja juurviljad,Puuviljad",3.59,
31,2060460800006,Viinamari tume Dark Moldova I klass,"Puu- ja juurviljad,Puuviljad",1.99,
32,8718366857269,"Avokaado, söögivalmis 2 tk","Puu- ja juurviljad,Puuviljad",1.99,
33,2060442000004,"Pirn Conference, I klass","Puu- ja juurviljad,Puuviljad",1.39,
34,2060433700005,Õun Jonagold I  klass,"Puu- ja juurviljad,Puuviljad",0.89,
35,2060494500002,"RAINBOW, Arbuus","Puu- ja juurviljad,Puuviljad",2.29,
36,6414894500241,Rainbow klementiin I klass 1 kg,"Puu- ja juurviljad,Puuviljad",1.99,
37,8437010537165,"Pom´bel õuna-mango puuviljamiks, 4x100 g","Puu- ja juurviljad,Puuviljad",2.79,
38,2060400200002,Apelsin Navelina I klass,"Puu- ja juurviljad,Puuviljad",1.89,
