,EAN,desc.,category,price,old_price
0,4740669002279,"Translation missing: et.origin_na, Viinamari hele Early Sweet karbis 500 g","Puu- ja juurviljad,Puuviljad",2.99,
1,7340011428497,"RAINBOW, Kiivi karbis, 500g","Puu- ja juurviljad,Puuviljad",1.99,
2,6414894500234,"RAINBOW, Apelsin Navelina I klass 1kg","Puu- ja juurviljad,Puuviljad",0.99,
3,7340011432371,"RAINBOW, Avokaado pakitud 800 g","Puu- ja juurviljad,Puuviljad",4.59,
4,5997690711574,Õunakrõps Golden 40g,"Puu- ja juurviljad,Puuviljad",1.59,
5,5997690707874,Õunakrõps Jonathan 40g,"Puu- ja juurviljad,Puuviljad",1.59,
6,6414890440176,"Holland, Pirn Conference pakitud 1 kg","Puu- ja juurviljad,Puuviljad",1.49,
7,2060430700008,"Belgia, Õun Golden,  I klass","Puu- ja juurviljad,Puuviljad",1.79,
8,2060490100008,"Costa rica, Ananass Rainbow","Puu- ja juurviljad,Puuviljad",1.89,
9,2060490500006,"Brasiilia, Kollane melon","Puu- ja juurviljad,Puuviljad",1.79,
10,2060490600003,"Tšiili, Avokaado Hass, söögivalmis","Puu- ja juurviljad,Puuviljad",5.99,
11,2060493000008,"Brasiilia, Laim","Puu- ja juurviljad,Puuviljad",3.79,
12,2060493100005,"Hispaania, Melon Roheline","Puu- ja juurviljad,Puuviljad",2.79,
13,2060505200006,"Iisrael, Greip Jaffa valge","Puu- ja juurviljad,Puuviljad",2.89,
14,2060514600002,"Poola, Õun  Paulared, II klass","Puu- ja juurviljad,Puuviljad",0.59,
15,2060515000009,"Prantsusmaa, Õun Granny Smith, I klass","Puu- ja juurviljad,Puuviljad",2.19,
16,2060515100006,"Lav, Õun Royal Gala,  I klass","Puu- ja juurviljad,Puuviljad",1.59,
17,2060516200002,"Itaalia, Õun Red Delicios I klass","Puu- ja juurviljad,Puuviljad",2.19,
18,2060514700009,"Holland, Õun Tessa I klass","Puu- ja juurviljad,Puuviljad",3.99,
