,desc,score,match_desc
64,nätsukommid hapu õuna chewits xtreme 0.03kg,0.7738095238095238,chewits xtreme hapu õuna maitselised närimiskompvekid 0.03kg
3,pulgakomm fazer muumi 0.008kg,0.75,fazer moomin pulgakomm 0.008kg
23,kohuke vanilli karums 0.045kg,0.75,karums vanilli glasuurkohuke 0.045kg
41,kohuke kookose karums 0.045kg,0.75,karums kookose glasuurkohuke 0.045kg
68,kartul pesemata kg eesti,0.75,eesti kartul pesemata gala
43,kohuke karamelli karums 0.045kg,0.75,karums karamelli glasuurkohuke 0.045kg
44,kohuke šokolaadi karums 0.045kg,0.75,karums šokolaadi glasuurkohuke 0.045kg
57,kohvikoor rimi basic 10% 0.2l,0.675,kotimaista kohvikoor 10% 0.2l
58,vesi gaasiga saaremaa 0.5l,0.625,eesti aura spring gaasiga vesi 0.5l
36,kummikommid red band tutti frutti hearts 0.015kg,0.6190476190476191,red band tutti-frutti hearts pastillid 0.015kg
42,kakaodessert gl šokolaadi jeppi 0.038kg,0.6,jeppi glasuuritud kakaodessert šokolaaditäidisega 0.038kg
9,kohupiimadessert gl vanilli jeppi 0.038kg,0.6,jeppi vanillimaitseline glasuuritud kohupiimadessert 0.038kg
46,kohupiimadessert valge gl jeppi 0.038kg,0.6,jeppi vanillimaitseline glasuuritud kohupiimadessert 0.038kg
45,kohupiimadessert gl vaarika jeppi 0.038kg,0.6,jeppi vanillimaitseline glasuuritud kohupiimadessert 0.038kg
53,mangokohuke karums 0.045kg,0.5833333333333333,karums karamelli glasuurkohuke 0.045kg
26,jahvatatud must pipar rimi basic 0.015kg,0.55,meira must pipar jahvatatud 0.025kg
24,närimiskommid red band tutti frutti 0.015kg,0.55,red band tutti-frutti pastillid 0.015kg
66,dessert zottis vanilje zott 0.115kg,0.5333333333333333,zottis šokolaadidessert 0.115kg
65,dessert zottis šhokolaadi zott 0.115kg,0.5333333333333333,zottis šokolaadidessert 0.115kg
40,mahlajook rimi multipuuvilja 0.2l,0.5,rainbow metsamarja mahlajook 0.2l
61,kartulipuder rõõsakoorega 5 min maggi 0.035kg,0.5,maggi kartulipüree 0.035kg
34,kohuke maasika karums 0.045kg,0.5,karums šokolaadi glasuurkohuke 0.045kg
33,"mahlajook rimi apelsini,banaani,virsiku 0.2l",0.5,rainbow metsamarja mahlajook 0.2l
30,kohuke karamelliglasuuriga rimi 0.038kg,0.5,liisu kohuke rummikook 0.038kg
29,allikavesi karboniseeritud rimi 0.5l,0.5,perrier vesi karboniseeritud 0.5l
1,mitmeviljakukkel 0.035kg,0.5,rainbow mitmeviljakukkel
50,joogivesi saaremaa 0.5l,0.5,saaremaa vesi joogivesi 6- pakk 1.5l
60,kartulipuder või ja tilliga 5 min maggi 0.035kg,0.4875,maggi võimaitseline kartulipüree tilliga 0.035kg
25,nätsukomm erinevad maitsed mamba 0.0265kg,0.45,mamba nätsukomm 4-pakk 0.106kg
73,jook õuna-virsiku tymbark frozen 0.2l,0.45,põltsamaa maasika-punasesõstra jook 0.2l
