,desc,score,match_desc: 4min36s
2385,röst rukkijahust leibur 0.47kg,1.0,leibur röst rukkijahust 0.47kg
2093,joogijogurt maasika-nektariini alma 0.9kg,1.0,alma joogijogurt maasika-nektariini 0.9kg
1733,jahimehesegu santa maria 0.03kg,1.0,santa maria jahimehesegu 0.03kg
739,kohupiimakreem vanilli alma 0.3kg,1.0,alma vanilli kohupiimakreem 0.3kg
742,must vormileib eesti pagar 0.28kg,1.0,eesti pagar must vormileib 0.28kg
1738,kamapallid balsnack 0.15kg,1.0,balsnack kamapallid 0.15kg
747,rukkisepik eesti pagar 0.3kg,1.0,eesti pagar rukkisepik 0.3kg
752,sepik õnne eesti pagar 0.3kg,1.0,eesti pagar õnne sepik 0.3kg
248,piim alma 2.5% 0.5l,1.0,alma piim 2.5% 0.5l
246,kohuke mooniseemnetega aasa 0.04kg,1.0,aasa mooniseemnetega kohuke 0.04kg
1169,loorberilehed kotanyi 0.004kg,1.0,kotanyi loorberilehed 0.004kg
1742,must pipar jahvatatud santa maria 0.016kg,1.0,santa maria must pipar jahvatatud 0.016kg
2083,punase karri maitseainesegu santa maria 0.032kg,1.0,santa maria punase karri maitseainesegu 0.032kg
2080,toorsuitsupeekoni kuubikud rakvere 0.14kg,1.0,rakvere toorsuitsupeekoni kuubikud 0.14kg
2077,joogijogurt mango alma 0.9kg,1.0,alma mango joogijogurt 0.9kg
2669,tordipulber juubeli tartu mill 0.45kg,1.0,tartu mill tordipulber juubeli 0.45kg
2670,riisihelbed tartu mill 0.5kg,1.0,tartu mill riisihelbed 0.5kg
1744,loorberileht santa maria 0.004kg,1.0,santa maria loorberileht 0.004kg
2142,õlu sol 4.5% 0.33l,1.0,sol õlu 4.5% 0.33l
2146,keefir laktoosivaba hellus 1kg,1.0,hellus laktoosivaba keefir 1kg
777,rukkileib rehe eesti pagar 0.39kg,1.0,eesti pagar rehe rukkileib 0.39kg
2636,sulatatud juust old saare mo saaremaa 0.185kg,1.0,mo saaremaa sulatatud juust old saare 0.185kg
692,kali karl friedrich 0.5l,1.0,karl friedrich kali 0.5l
696,tomatimahl aura 1l,1.0,aura tomatimahl 1l
1179,hapukoor tere 20% 0.33kg,1.0,tere hapukoor 20% 0.33kg
707,sinep kange põltsamaa 0.065kg,1.0,põltsamaa kange sinep 0.065kg
