,desc,score,match_desc 5min11s
1526,granaatõunajook aura 1l,1.0,aura aura granaatõunajook 1l
689,hapukoor alma 20% 0.25kg,1.0,alma hapukoor 20% 0.5kg
2429,salatikurk salvest 0.395kg,1.0,salvest salvest salatikurk 0.395kg
2889,kiirkaerahelbed nordic 0.5kg,1.0,nordic kiirkaerahelbed 0.5kg
1235,puding kakao laktoosivaba tere 0.2kg,1.0,tere laktoosivaba vanillipuding 0.2kg
1227,maisileivakesed linaseemnete racio 0.115kg,1.0,racio racio cornies linaseemnetega maisileivad 0.115kg
683,mikropopkorn soolane estrella 0.09kg,1.0,estrella estrella mikropopkorn soolaga 0.09kg
2426,sulatatud juust murulauguga merevaik 0.2kg,1.0,merevaik sulatatud juust 0.2kg
1681,kartuli-röstsibula pehmik eesti pagar 0kg,1.0,eesti pagar kartuli-röstsibula pehmik 0kg
2425,sulatatud juust röstitud kanaga merevaik 0.2kg,1.0,merevaik sulatatud juust röstitud kanaga 0.2kg
1225,proteiinijogurt ahjuõuna valio profeel 0.2kg,1.0,valio profeel ahjuõunajogurt 0.2kg
1690,köögiviljamahl põltsamaa 1l,1.0,põltsamaa köögiviljamahl 1l
1692,pralineekommid kalev komeet 0.175kg,1.0,kalev kalev komeet pralineekompvekid 0.175kg
2898,kaera- ja riisihelbe segu veski mati 0.5kg,1.0,veski mati veski mati kaera- ja riisihelbe segu 0.5kg
1693,kalakaste thai choice 0.2l,1.0,thai choice kalakaste 0.2l
334,pastillid citrus multivitamin mynthon 0.034kg,1.0,mynthon mynthon citrus multivitamin kurgupastillid 0.034kg
248,piim alma 2.5% 0.5l,1.0,alma piim 2.5% 0.5l
1694,köögiviljamahl põltsamaa 1l,1.0,põltsamaa köögiviljamahl 1l
1695,täisterakaerahelbed helen 0.5kg,1.0,helen helen täisterakaerahelbed 0.5kg
1696,pralineekommid kalev komeet 0.175kg,1.0,kalev kalev komeet pralineekompvekid 0.175kg
690,mikropopkorn võimaitseline estrella 0.09kg,1.0,estrella estrella mikropopkorn võimaitseline 0.09kg
691,pastillid spearmint orbit 0.028kg,1.0,orbit orbit spearmint pastillid 0.028kg
1709,keefir väherasvane hellus 1% 1kg,1.0,hellus väherasvane keefir 1% 1kg
327,sidrunhape santa maria 0.03kg,1.0,santa maria sidrunihape 0.03kg
2899,helbed seemnete ja kliidega veski mati 0.5kg,1.0,veski mati veski mati neljaviljahelbed 0.5kg
325,kaerahelbed tartu mill 0.5kg,1.0,tartu mill kaerahelbed 0.5kg
1710,piim alma 2.5% 1.5l,1.0,alma piim 2.5% 1l
2900,seljanka lihata 3min 0.48kg,1.0,3min seljanka lihata  3min 0.48kg
1711,verikäkk rakvere 0.44kg,1.0,rakvere verikäkk 0.44kg
1712,must põrandaleib fazer 0.39kg,1.0,fazer must põrandaleib 0.39kg
2888,seemneleib fazer 0.4kg,1.0,fazer seemneleib 0.4kg
2779,õlu miller genuine draft 4.7% 0.33l,1.0,miller miller genuine draft õlu 4.7% 0.33l
1665,kaerahelbed täistera tartu mill 0.5kg,1.0,tartu mill täistera kiirkaerahelbed 0.5kg
2433,sulatatud juust lepasuitsu viil e-piim 0.15kg,1.0,e-piim eesti juust viilutatud 0.15kg
1622,toorbatoon pähklimaius nakd 0.035kg,1.0,nakd toorbatoon pähklimaius 0.035kg
1625,energiajook red bull white editition 0.25l,1.0,red bull red bull energiajook white edition 0.25l
1628,tatragaletid dr.nature 0.11kg,1.0,dr.nature dr nature tatragaletid 0.11kg
1629,toorbatoon marjanauding nakd 0.035kg,1.0,nakd nakd marja nauding toorbatoon 0.035kg
1282,täispiim alma 3.8-4.2% 1l,1.0,alma täispiim 3.8-4.2% 1l
383,sai perenaise eesti pagar 0.32kg,1.0,eesti pagar perenaise sai 0.32kg
1281,must seemneleib fazer 0.28kg,1.0,fazer must seemneleib 0.28kg
2880,chicken snack nõo 0.085kg,1.0,nõo snack chicken 0.085kg
380,närimiskumm white fruit orbit 0.014kg,1.0,orbit orbit white freshmint närimiskumm 0.014kg
1631,tomatimahl heinz 0.29l,1.0,heinz heinz tomatimahl 0.29l
1632,neljaviljahelbed täistera tartu mill 0.5kg,1.0,tartu mill täistera neljaviljahelbed 0.5kg
2445,juust special viilutatud e-piim 0.15kg,1.0,e-piim juust epiim special viilutatud 0.15kg
1635,šokolaadibatoon tupla king size 0.085kg,1.0,tupla tupla king size šokolaadibatoon 0.085kg
1263,küüslaugusool santa maria 0.077kg,1.0,santa maria küüslaugusool 0.077kg
1261,broilerimaitseaine santa maria 0.043kg,1.0,broilerimaitseaine 0.043kg
2881,verivorst rakvere 0.5kg,1.0,rakvere verivorst 0.5kg
2576,salatipeet salvest 0.395kg,1.0,salvest salvest salatipeet 0.395kg
2577,mineraalvesi evian looduslik 1.5l,1.0,evian evian looduslik mineraalvesi 1.5 l
367,sidruni-koorejäätis küpsistega raks 0.11l 0.06kg,1.0,raks sidruni-koorejäätis küpsistega 0.06kg 0.11l
2885,riivjuust atleet küpsetistele valio 0.2kg,1.0,valio atleet riivjuust küpsetistele 0.2kg
1645,täistera röst pala leibur 0.22kg,1.0,leibur röst täistera pala 0.22kg
364,kohupiimakreem mangokisselliga alma 0.14kg,1.0,alma mangokisselliga kohupiimakreem 0.14kg
1646,suhkur dan sukker 1kg,1.0,dansukker suhkur 1kg
2437,must pidupäevaleib fazer 0.5kg,1.0,fazer must pidupäevaleib 0.5kg
2886,riivjuust atleet cheddar valio 0.2kg,1.0,valio atleet cheddari riivjuust 0.2kg
359,ploomtomatid kooritud rimi 0.4kg,1.0,tartu mill plaadikook 0.4kg
1240,karastusjook barbariss 1.5l,1.0,barbariss karastusjook barbariss 1.5l
2901,pärmi-lehttaigen eesti pagar 0.5kg,1.0,eesti pagar pärmi-lehttaigen 0.5kg
2415,sulatatud juust suitsujuustu hiirte 0.2kg,1.0,hiirte juust sulatatud juust 0.2kg
2414,täispiim alma 3.8-4.2% 1.5l,1.0,alma täispiim 3.8-4.2% 1.5l
1181,sai kodusai suur fazer 0.5kg,1.0,fazer suur kodusai 0.5kg
1180,võileivamääre karulaugupesto farmi 0.15kg,1.0,farmi karulaugupestoga võileivamääre 0.15kg
2770,kohupiimakreem mango-virsiku alma 0.38kg,1.0,alma rosina-vanilli kohupiimakreem 0.38kg
1179,hapukoor tere 20% 0.33kg,1.0,tere hapukoor 20% 0.33kg
1755,maitseainesegu tikka masala santa maria 0.035kg,1.0,kartulimaitseaine 0.35kg
1756,tsitrus-grillisegu santa maria 0.035kg,1.0,santa maria tsitrus-grillisegu 0.035kg
2408,sulatatud juust maitserohelisega hiirte 0.2kg,1.0,hiirte juust sulatatud juust maitserohelisega 0.2kg
1177,kuiv.marjade ja pähklite segu arimex 1 go 0.05kg,1.0,arimex arimex 1go kuivatatud puuviljade ja pähklite segu 0.05kg
2921,helbed seemnete ja kliidega veski mati 0.5kg,1.0,veski mati veski mati neljaviljahelbed 0.5kg
1174,basiilik santa maria 0.006kg,1.0,santa maria basiilik 0.006kg
2402,mädarõigas kodune felix 0.2kg,1.0,felix kodune mädarõigas 0.22kg
1170,kuivatatud marjade segu arimex kids 1 go 0.05kg,1.0,arimex arimex 1go kuivatatud marjade segu kids 0.05kg
1169,loorberilehed kotanyi 0.004kg,1.0,kotanyi loorberilehed 0.004kg
2398,sefiir mustikamaitseline laima 0.2kg,1.0,laima laima mustikamaitseline sefiir 0.2kg
1166,jook mustika-õuna põltsamaa 1l,1.0,põltsamaa põltsamaa mustika-õunajook 1l
729,müslibatoon jõhvika corny 0.05kg,1.0,corny müslibatoon jõhvika 0.05kg
2396,muffinipulber tartu mill 0.4kg,1.0,tartu mill muffinipulber 0.4kg
2394,rukkikama tartu mill 0.4kg,1.0,tartu mill rukkikama 0.4kg
2612,juust saaremaa viilutatud mo saaremaa 0.15kg,1.0,mo saaremaa juust saare leet viilutatud 0.15kg
1786,beebiporgand 0.25kg,1.0,beebi porgand 0.25kg
1149,seakamarakrõpsud pipra ja soolaga ossi 0.04kg,1.0,ossi pipra ja soolaga seakamarakrõpsud 0.04kg
1789,piparkoogimaitseaine santa maria 0.03kg,1.0,santa maria piparkoogimaitseaine 0.03kg
1148,mineraalvesi s.pellegrino 0.5l,1.0,san pellegrino sanpellegrino mineraalvesi 0.5l
739,kohupiimakreem vanilli alma 0.3kg,1.0,alma vanilli kohupiimakreem 0.3kg
254,šokolaadibatoon fazer geisha 0.037kg,1.0,geisha fazer geisha šokolaadibatoon 0.037kg
2390,sulatatud juust hiirte 0.2kg,1.0,hiirte juust sulatatud juust 0.2kg
742,must vormileib eesti pagar 0.28kg,1.0,eesti pagar must vormileib 0.28kg
2925,delikatess seahakkliha m&m 0.3kg,1.0,m&m delikatess seahakkliha 0.3kg
1748,iirised pehmed kalev kiss-kiss 0.15kg,1.0,kalev kalev kiss-kiss pehmed iirised 0.15kg
1745,iirised kalev kiss-kiss 0.15kg,1.0,kalev kalev kiss-kiss iirised 0.15kg
1715,täisterasepik eesti pagar 0.5kg,1.0,eesti pagar täisterasepik 0.5kg
2919,kiirkaerahelbed nordic 0.5kg,1.0,nordic kiirkaerahelbed 0.5kg
692,kali karl friedrich 0.5l,1.0,karl friedrich kali 0.5l
694,piimašokolaadibatoon bounty 0.057kg,1.0,bounty bounty milk piimašokolaadibatoon 0.057kg
314,kaerahelbe kiirpuder mustikaga veski mati 0.045kg,1.0,veski mati veski mati kaerahelbe kiirpuder maasika 0.045kg
1717,seemnepala fazer 0.28kg,1.0,fazer seemnepala 0.28kg
696,tomatimahl aura 1l,1.0,aura tomatimahl 1l
1719,piim laktoosivaba tere 2.5% 1l,1.0,tere laktoosivaba piim 2.5% 1l
1216,proteiinipuding vanilli magusainega fit 0.15kg,1.0,valio profeel valio profeel proteiinipuding toffeemaitseline 0.15kg
1724,must leib fazer 0.6kg,1.0,fazer must leib 0.6kg
2907,rukkitäisterajahu tartu mill 1.5kg,1.0,tartu mill täistera rukkijahu 1.5kg
1727,joogijogurt metsmarja alma 0.9kg,1.0,alma metsamarja joogijogurt  0.9kg
1209,proteiinipuding soolakaramelli fit 0.15kg,1.0,fit soolakaramelli proteiinpuding 0.15kg
304,leib rukkipala leibur 0.33kg,1.0,leibur rukkipala 0.33kg
1207,šokolaadibatoon crunchy karl fazer 0.055kg,1.0,karl fazer crunchy šokolaadibatoon 0.055kg
1733,jahimehesegu santa maria 0.03kg,1.0,santa maria jahimehesegu 0.03kg
