,desc,score,match_desc
1081,seemneleib jassi eesti pagar 0.31kg,1.0,eesti pagar jassi seemneleib 0.31kg
2039,odrahelbed veski mati 0.5kg,1.0,veski mati odrahelbed 0.5kg
1355,õlu karl friedrich helles 4.6% 0.568l,1.0,karl friedrich helles õlu 4.6% 0.568l
1842,täispiimajogurt muraka alma 0.35kg,1.0,alma täispiimajogurt muraka 0.35kg
325,kaerahelbed tartu mill 0.5kg,1.0,tartu mill kaerahelbed 0.5kg
1719,piim laktoosivaba tere 2.5% 1l,1.0,tere laktoosivaba piim 2.5% 1l
2669,tordipulber juubeli tartu mill 0.45kg,1.0,tartu mill tordipulber juubeli 0.45kg
2670,riisihelbed tartu mill 0.5kg,1.0,tartu mill riisihelbed 0.5kg
1082,peenleib pealinna eesti pagar 0.49kg,1.0,eesti pagar pealinna peenleib 0.49kg
2151,kodujuust laktoosivaba piimameister otto 0.22kg,1.0,piimameister otto laktoosivaba kodujuust 0.22kg
962,haputaina röst eesti pagar 0.43kg,1.0,eesti pagar haputaina röst 0.43kg
2045,persillade santa maria 0.048kg,1.0,santa maria persillade 0.048kg
1717,seemnepala fazer 0.28kg,1.0,fazer seemnepala 0.28kg
1715,täisterasepik eesti pagar 0.5kg,1.0,eesti pagar täisterasepik 0.5kg
2830,sulatatud juust kukeseentega merevaik 0.2kg,1.0,merevaik sulatatud juust kukeseentega 0.2kg
1121,koorene jogurt mustika farmi 0.4kg,1.0,farmi koorene mustikajogurt 0.4kg
2827,aloe vera jook chia seemnetega aleo 0.5l,1.0,aloe aloe vera jook chia seemnetega 0.5l
1354,kodusai röst fazer 0.5kg,1.0,fazer kodusai röst 0.5kg
1632,neljaviljahelbed täistera tartu mill 0.5kg,1.0,tartu mill täistera neljaviljahelbed 0.5kg
1712,must põrandaleib fazer 0.39kg,1.0,fazer must põrandaleib 0.39kg
1430,ürdisegu küüslauguga santa maria 0.028kg,1.0,santa maria ürdisegu küüslauguga 0.028kg
2488,füüsal 0.1kg,1.0,füüsal 0.1kg
2146,keefir laktoosivaba hellus 1kg,1.0,hellus laktoosivaba keefir 1kg
2817,küüslaugu pekk oskar 0.12kg,1.0,oskar küüslaugu pekk 0.12kg
1290,kohupiimakreem mustika alma 0.3kg,1.0,alma mustika kohupiimakreem 0.3kg
950,sai perenaise suur eesti pagar 0.5kg,1.0,eesti pagar suur perenaise sai 0.5kg
532,puding vanilli alma 0.23kg,1.0,alma puding vanilli 0.23kg
689,hapukoor alma 20% 0.25kg,1.0,alma hapukoor 20% 0.25kg
948,rukkileib kodukandi eesti pagar 0.39kg,1.0,eesti pagar kodukandi rukkileib 0.39kg
2492,hapukoor tere 30% 0.33kg,1.0,tere hapukoor 30% 0.33kg
1128,kaera pehmik eesti pagar 0.22kg,1.0,eesti pagar kaera pehmik 0.22kg
168,batoon nesquik nestle 0.025kg,1.0,nestle nesquik batoon 0.025kg
1841,rukki-seemneleib karja pagar 0.38kg,1.0,karja pagar rukki-seemneleib 0.38kg
2527,riisimanna veski mati 0.5kg,1.0,veski mati riisimanna 0.5kg
165,tomatipasta pomi 0.2kg,1.0,pomi tomatipasta 0.2kg
884,kalamaitseaine tilliga santa maria 0.025kg,1.0,santa maria kalamaitseaine tilliga 0.025kg
987,vürts santa maria 0.015kg,1.0,santa maria vürts 0.015kg
1622,toorbatoon pähklimaius nakd 0.035kg,1.0,nakd toorbatoon pähklimaius 0.035kg
986,skyr kirssidega farmi 0.15kg,1.0,farmi kirssidega skyr 0.15kg
985,skyr virsikutega farmi 0.15kg,1.0,farmi virsikutega skyr 0.15kg
1112,jogurtismuuti banaani-maasika-kiivi alma 0.275kg,1.0,alma banaani-maasika-kiivi jogurtismuuti 0.275kg
824,tüümian santa maria 0.01kg,1.0,santa maria tüümian 0.01kg
2639,maksarõngas rakvere 0.3kg,1.0,rakvere maksarõngas 0.3kg
2640,röst mitmevilja leibur 0.47kg,1.0,leibur mitmevilja röst 0.47kg
2642,kodujuust karulaugupestoga tere 0.3kg,1.0,tere karulaugupestoga kodujuust 0.3kg
143,hea sai eesti pagar 0.3kg,1.0,eesti pagar hea sai 0.3kg
1744,loorberileht santa maria 0.004kg,1.0,santa maria loorberileht 0.004kg
1516,keefir täispiimast farmi 3.8-4.2% 1kg,1.0,farmi keefir täispiimast 3.8-4.2% 1kg
1831,jogurt mango-banaani-chia gefilus 0.38kg,1.0,gefilus mango-banaani-chia jogurt 0.38kg
1837,liha üldmaitseaine santa maria 0.07kg,1.0,santa maria liha üldmaitseaine 0.07kg
826,kakao kohupiimapasta tere 0.3kg,1.0,tere kakao kohupiimapasta 0.3kg
2179,kaneelikoor santa maria 0.022kg,1.0,santa maria kaneelikoor 0.022kg
1169,loorberilehed kotanyi 0.004kg,1.0,kotanyi loorberilehed 0.004kg
2856,rukkitäisterajahu tartu mill 1.5kg,1.0,tartu mill täistera rukkijahu 1.5kg
980,nelk santa maria 0.01kg,1.0,santa maria nelk 0.01kg
729,müslibatoon jõhvika corny 0.05kg,1.0,corny müslibatoon jõhvika 0.05kg
2468,kaeraröst oatfit leibur 0.55kg,1.0,leibur oatfit kaeraröst 0.55kg
1114,jogurtijook kreeka mango-maasika alma 0.275kg,1.0,alma mango-maasika kreeka jogurtijook 0.275kg
1356,kaerasepik eesti pagar 0.3kg,1.0,eesti pagar kaerasepik 0.3kg
714,kiirkaerahelbed täistera tartu mill 0.5kg,1.0,tartu mill täistera kiirkaerahelbed 0.5kg
1839,sidrunipipar santa maria 0.03kg,1.0,santa maria sidrunipipar 0.03kg
2475,herned rohelised salvest 690 0.45kg,1.0,salvest rohelised herned 690 0.45kg
1942,kiirkaerahelbed helen 0.5kg,1.0,helen kiirkaerahelbed 0.5kg
1507,maksapasteet delikatess  nõo 0.2kg,1.0,nõo delikatess maksapasteet 0.2kg
1711,verikäkk rakvere 0.44kg,1.0,rakvere verikäkk 0.44kg
1129,keefir kama gefilus 0.3kg,1.0,gefilus kama keefir 0.3kg
2689,sulatatud juust krevettidega merevaik 0.2kg,1.0,merevaik sulatatud juust krevettidega 0.2kg
1353,linaseemnesepik leibur 0.36kg,1.0,leibur linaseemnesepik 0.36kg
1645,täistera röst pala leibur 0.22kg,1.0,leibur röst täistera pala 0.22kg
871,kartulimaitseaine santa maria 0.03kg,1.0,santa maria kartulimaitseaine 0.03kg
1693,kalakaste thai choice 0.2l,1.0,thai choice kalakaste 0.2l
909,šašlõkimaitseaine santa maria 0.045kg,1.0,santa maria šašlõkimaitseaine 0.045kg
1235,puding kakao laktoosivaba tere 0.2kg,1.0,tere laktoosivaba kakaopuding 0.2kg
875,guljašimaitseaine santa maria 0.04kg,1.0,santa maria guljaši maitseaine 0.04kg
2093,joogijogurt maasika-nektariini alma 0.9kg,1.0,alma joogijogurt maasika-nektariini 0.9kg
907,lihamaitseaine tuline santa maria 0.02kg,1.0,santa maria tuline lihamaitseaine 0.02kg
