,desc,score,match_desc
45,maasikajook limpa 0.25l,1.0,limpa maasikajook 0.25l
36,kohuke karamelli karums 0.045kg,0.75,karums karamelli glasuurkohuke 0.045kg
2,pulgakomm fazer muumi 0.008kg,0.75,fazer moomin pulgakomm 0.008kg
39,kohuke šokolaadi karums 0.045kg,0.75,karums šokolaadi glasuurkohuke 0.045kg
29,kohuke vanilli karums 0.045kg,0.75,karums vanilli glasuurkohuke 0.045kg
40,kummikommid red band tutti frutti hearts 0.015kg,0.6190476190476191,red band tutti-frutti hearts pastillid 0.015kg
43,kohupiimadessert gl vaarika jeppi 0.038kg,0.6,jeppi vanillimaitseline glasuuritud kohupiimadessert 0.038kg
38,kohupiimadessert valge gl jeppi 0.038kg,0.6,jeppi vanillimaitseline glasuuritud kohupiimadessert 0.038kg
37,kakaodessert gl šokolaadi jeppi 0.038kg,0.6,jeppi glasuuritud kakaodessert šokolaaditäidisega 0.038kg
12,kohupiimadessert gl vanilli jeppi 0.038kg,0.6,jeppi vanillimaitseline glasuuritud kohupiimadessert 0.038kg
16,närimiskommid red band tutti frutti 0.015kg,0.55,red band tutti-frutti pastillid 0.015kg
30,jahvatatud must pipar rimi basic 0.015kg,0.55,meira must pipar jahvatatud 0.025kg
33,kohuke karamelliglasuuriga rimi 0.038kg,0.5,liisu kohuke rummikook 0.038kg
49,joogivesi saaremaa 0.5l,0.5,saaremaa vesi joogivesi 6- pakk 1.5l
34,mahlajook rimi multipuuvilja 0.2l,0.5,rainbow metsamarja mahlajook 0.2l
35,"mahlajook rimi apelsini,banaani,virsiku 0.2l",0.5,rainbow metsamarja mahlajook 0.2l
1,mitmeviljakukkel 0.035kg,0.5,rainbow mitmeviljakukkel
27,allikavesi karboniseeritud rimi 0.5l,0.5,perrier vesi karboniseeritud 0.5l
32,köögiviljamaitselised kiirnuudlid rimi basic,0.45,mama idamaised köögiviljamaitselised kiirnuudlid 0.06kg
25,nätsukomm erinevad maitsed mamba 0.0265kg,0.45,mamba nätsukomm 4-pakk 0.106kg
47,mahlajook rimi virsiku ja viinamarja 0.2l,0.41666666666666663,rainbow metsamarja mahlajook 0.2l
31,kohuke küpsiste ja želeetükkidega rimi 0.038kg,0.41666666666666663,liisu kohuke rummikook 0.038kg
21,mesi korio 0.025kg,0.41666666666666663,sangaste mesi mesi 0.5kg
22,punane sibul kg,0.3333333333333333,poola punane kapsas
48,õunamahlajook rimi 0.2l,0.3333333333333333,rainbow ananassimahl 0.2l
3,presspärm nordic 0.05kg,0.3333333333333333,nordic neljaviljahelbed 0.6kg
20,kuivpärm rimi basic 0.012kg,0.29166666666666663,rainbow kuivpärm 0.11kg
23,vanilliinsuhkur rimi basic 0.035kg,0.29166666666666663,x-tra till 0.035kg
26,allikavesi karboniseerimata rimi 0.5l,0.29166666666666663,rynkeby ingveri-kurkumishot 0.5l
17,sidrunhape rimi basic 0.03kg,0.29166666666666663,balsnack kamapallid 0.03kg
6,toiduželatiin rimi basic 0.02kg,0.29166666666666663,rainbow lehtzelatiin 0.02kg
24,allikavesi karboniseerimata rimi kids 0.5l,0.26666666666666666,rynkeby ingveri-kurkumishot 0.5l
19,veiseliham kiirnuudlid rimi basic 0.05kg,0.26666666666666666,capsi sidrunhape 0.05kg
7,kakaojook opti start nesquik 0.0135kg,0.26666666666666666,nesquik kakaopallid 0.625kg
8,kohv lahustuv 3in1 strong nescafé 0.017kg,0.25,kotanyi kaneelipulgad 0.017kg
44,vahvlibatoon fazer suffeli 0.021kg,0.25,fazer wiener nougat kommikarp
10,kohv lahustuv 3in1 nescafé classic 0.0165kg,0.25,burger näkileivad classic
9,kohv lahustuv 3in1 pruun suhkur nescafe 0.0165kg,0.23809523809523808,rainbow suhkur 1kg
11,kohvijook lahustuv 2in1 nescafé 0.008kg,0.225,meira kardemon jahvatatud 0.008kg
42,tomati-kiirsupp rimi express nuudlitega 0.021kg,0.225,vegeta kanasupp nuudlitega 0.062kg
14,kohvijook lahustuv 2in1 jacobs 0.014kg,0.225,kotanyi peenestatud tüümian 0.014kg
28,küpsised rimi basic klassik 0.155kg,0.225,domino marianne küpsised 0.35kg
18,kanalihamaitselised kiirnuudlid rimi basic 50,0.225,nissin kiirnuudlid seesamimaitseline 0.1kg
46,kassisööt purrrfect linnul tükid kastm 0.1kg,0.20833333333333331,rainbow kanafilee koertele 0.1kg
41,kiirsupp rimi express kana ja nuudlitega 0.014kg,0.19642857142857142,kotanyi peenestatud tüümian 0.014kg
4,kohvijook lahustuv 3in1 rimi 0.018kg,0.18333333333333335,santa maria must pipar purustatud 0.018kg
13,kohvijook lahustuv karamel jacobs 3in1 0.0169kg,0.15476190476190477,kommi asemel chef želatiin kiirelt lahustuv 0.02kg
15,kohvijook lahustuv cafe latte jacobs 0.0125kg,0.15476190476190477,kommi asemel chef želatiin kiirelt lahustuv 0.02kg
5,kohvijook jacobs 3in1 mixes 0.0152kg,0.0,voimix vähendatud rasvasisaldusega margariin 60% 0.4kg
0,tuletikud rimi,0.0,voimix vähendatud rasvasisaldusega margariin 60% 0.4kg
